level_0,index,Aggregate_Expenditure
0,1980,1610.0
1,1981,1831.0
2,1982,1933.0
3,1983,2588.0
4,1984,3119.0
5,1985,3413.0
6,1986,4068.0
7,1987,4294.0
8,1988,5223.0
9,1989,5768.0
10,1990,6581.0
11,1991,7758.0
12,1992,8984.0
13,1993,10541.0
14,1994,12459.0
15,1995,14301.0
16,1996,16265.0
17,1997,17745.0
18,1998,21958.0
19,1999,22767.0
20,2000,28119.0
21,2001,31074.0
22,2002,34373.0
23,2003,40120.0
24,2004,47153.0
25,2005,48306.0
26,2006,56648.0
27,2007,74875.0
28,2008,80803.89
29,2009,85074.79000000001
30,2010,100635.63999999998
31,2011,115881.55
32,2012,129440.92
33,2013,136629.27
34,2014,111067.46
35,2015,112048.99
